year,title,inventor_estimates,location_estimates,description
1603,Medieval Alchemy,"['Andreas L', 'Libavius', 'Libavius Libavius', 'Earth', 'Magnet', 'William Gilbert', 'De Magnete', 'Earth Robert Norman', 'Gilbert']","['German', 'Alchemnia', 'English']","The medieval alchemists didn’t achieve much of what they would have liked to achieve. They didn't manufacture gold out of lead, and they didn’t find the elixir of life. However,

they weren't totally useless,

either.

In 1597 a German alchemist, Andreas L 1540-1616), better known by the Latinized form of his name as Libavius, wrote a book entitled Alchemnia in which he summarized me

dieval achievements in alchemy. It was the first

chemical textbook worthy of the name. Libavius

wrote clearly rather than

miystically. He was

to describe the

of hvdrochloric acid, and

le gave clear direc

tions for preparing o

acids such

and aqua

water 1 nuxture of sutiu  ric and nitric acids that was so powerful it would even dissolve the royal metal, gold).

With Libavius’s book, the stage was set for the birth of real chemistry twothirds of a century later

Earth as Magnet

Although the compass had been known for nearly five centuries, no one knew why it pointed north. The English physician and physicist William Gilbert (1544~ 1603) put it to the test and published a book, De Magnete (Concerning Magnets), in 1600 in which he described his experiments. For instance, he tested the general opinion that garlic would destroy magnetism and that diamonds would produce it. He rubbed magnets with garlic

and the magnetism did not disappear. He rubbed unmagnetized iron with diamonds and magnetism did not appear. He took the precaution of doing this before witnesses.

The most important thing he did, however, was to take a large piece of loadstone and fashion a globe out of it. He located its magnetic poles and showed that a compass needle would point north if placed near the surface of this spherical magnet.

What’s more, if he arranged for the compass nee-

dle to swivel vertically, it showed what was called magnetic dip, for it pointed straight through the body of the object. In fact, if the compass needle was held above the magnetic pole, it pointed straight down. (Magnetic dip was first noted on Earth'’s surface by an English navigator, Robert Norman [1560-?], in 1576.)

Gilbert concluded, then, that compass needles acted the way they did because Earth itself was a huge magnet.

"
1603,Vein Valves,"['Galen', 'Girolamo Fabrici', 'Muscular', 'Fabricius']","['Galen', 'Italian', 'Fabricius']","That blood moves is certain, for when an artery is cut, blood emerges in spurts. The spurts are in time with the beating of the heart, so that the heart clearly pumps the blood.

The classical belief, inherited from Galen (see 180), was that the blood was manufactured in the liver and carried to the heart, from which it was pumped outward through arteries and veins alike and consumed in the tissues.

Of course, the heart is actually two pumps, with a thick muscular wall between, but there seemed no reason for two pumps. It was Galen's notion that there were small holes in the wall, too small to be visible, and that through these the blood passed, converting the heart into a single pump.

In 1603 an Italian physician, Girolamo Fabrici (1537—-1619), better known by his Latinized name of Fabricius ab Aquapendente, studied the veins of the legs and noted that they

had little valves along their length.

It was clear that the valves prevented the blood from flowing downward. Muscular action during walking squeezed the leg veins and forced the blood upward because that was the only direction in which it could go. This meant that the blood in the leg veins could move only teward the heart.

Fabricius, however,

did not dare to go against Galen's doetrine and he refused to draw this conclusion.  1607

"
1608,Jamestown,"['John Smith', 'James River', 'James', 'Jamestown']","['English', 'Newfoundland', 'English Virginia', 'England', 'English United States']","Since the defeat of the Spanish Armada (see 1589) the English had been trying to make settlements overseas. They had succeeded in Newfoundland but had failed at Roanoke.

Finally, on May 24, 1607, a party of English settlers, with John Smith (ca. 1580-1631) the most prominent member, landed in what is now the state of Virginia. They moved up the James River (named for James I

of England) and founded Jamestown,

This was the first permanent English settlement in the territory of what is now the United States.

"
1608,Telescope,"['Lippershey', 'Rumors']","['Lippershey', 'Dutch', 'Greek', 'Netherlands', 'Spain', 'Nassau']","After the invention of the microscope (see 1590), it wouldn't have taken much to work out lens combinations that would magnify distant objects, or make them appear closer.

The discovery seems to have come about in 1608 through accident. Hans Lippershey (ca. 1570-1619), a Dutch spectacle-maker, had an apprentice who was

playing with lenses during an idle moment and found that if he held two lenses in front of his eyes, one at a distance from the other, and looked through both, he saw a distant church steeple that seemed considerably closer than it was, and upside down, too. Startled, he told his master, who grasped the importance of the discovery at once. Lippershey mounted the lenses in a

tube that placed them at the proper distance from each other and had the first primitive zelescope (from Greek words meaning “to see far”).

The Netherlands was still in rebellion against Spain, and Lippershey realized that a telescope would be an important war weapon, making it possible to see the approach of enemy ships or troops before they could be made out

by the eye alone. He explained this to Maurice of Nassau (see 1586), who saw the point and made an at tempt to keep the nature of the device secret. The elfort failed, however. Rumors spread, and the device was too simple not to be reconstructed at once

"
1609,Quebec,"['Samuel', 'Henry', 'Nova Scotia', 'Cape Cod', 'St.', 'James Lown']","['French', 'France', 'American', 'French Canada', 'French Quebd', 'English']","The French explorer Samuel de Champlain (ca. 1567—1635) was commis-

sioned by Henry 1V of France to explore that portion of the North American coasl reached by Cartier 35). From 1603 on he explored the St. Law-

(see 15

rence River together with the coast from Nova Scotia to Cape Cod

In 1608 he established St. Law-

AS C

a settlement on t rence River that 3

Quebec. It was the firs

manent French foothold in Canada. The next year he explored southward and

honor The French in Quebd and the English in James

Lown wer

600 miles apart

vever, settlements

a way ol spreadi

scene was set tor a rivalry

etween the powers

was not to

century and a half

"
1609,Planetary Orbits,"['Copernicus', 'Tycho Brs', 'Kepler', 'Tycho', 'Kepler Astrononiia Nova', 'Kepler No', 'Kepler First Law']","['Plato', 'Greeks', 'Greck', 'Mars', 'Greek']","For nearly two thousand years, since Plato (see 387 B.C.), it had been taken for granted that planetary orbits were circles, if only because the circle was the simplest curve and therefore the most elegant and esthetic. Surely the heavens would not deal with anything else.

Planetary movements, however, did not match the

notion of simple circular orbits, and the Greeks had to assume combinations of circles that grew more and more complicated as observations of actual planetary motions across the sky grew more precise Copernicus placed the Sun, rather than the Earth at the center of the Uni verse, but kept circular os bits, which meant that there still had to be compli cated combinations, al-

though not quite as

ed as those re-

complica quired by the Greck sys tem

ahe (sec

Tycho Brs had carefully o

pusition of Mars in

from ni better me inyone before His ¢

st lew vearswasa G

done the la

man astror

stant during

10meln

571—=1630), and

Kepler tried to work out an orbit that would best fit the data Tycho had gathered.

Kepler tried a number of things that didn’t work and was finally driven to the all-but-unthinkable alternative of considering orbits that were not circles Finally, he had his answer and, in 1609, published it in a book entitled Astrononiia Nova (New Astronomy). In it, he maintained that planets moved about the Sun in ellipses (flattened circles whose geometric properties had first been explained by the Greek mathematician Apollonius in the first century B.C.). The Sun was located at one of the two foci of the ellipse, and with such orbits, no curve combinations were required. Our present picture of the Solar System (that is, the Sun plus its retinue of planets and other bodies) remains essentially that worked out by Kepler No substantial change is expected in the future.

The elliptical orbit is Kepler’s First Law of planetary motion. He also advanced a Second Law in his

book, which described how the planetary speed altered with distance from the Sun. With the Sun at one focus of an ellipse, the planet was closer to the Sun (and moved faster) in one half of the orbit than in the other.

"
1609,The Milky Way,"['Milky Way', 'Milky Way Galileo', 'Milky Way Democritus', 'Galileo']",['Earth'],"The Milky Way is a dim band of foggy light that encircles the sky. Many were the speculations as to what it was. It might be a spurt of milk from a goddess’s breast, or it might be a bridge used by the gods to travel from Earth to Heaven or vice versa. Democritus (see 440 B.C.) sug“t’\[Ld that the Milky Way a conglomeration of vast numbers of stars that were individually too dim to be seen. That, however,

was just a speculation.

In 1609, however, Galileo heard rumors of the construction of a telescope in the Netherlands the year before. From what he heard, he had little trouble devising a telescope for himself, and for the first

time, he turned one on the sky.

When he looked at the Milky Way through the telescope, he found that it was indeed composed of a myriad of faint stars. Democritus had been absolutely correct.

In fact, wherever Galileo looked he saw additional stars that, without the telescope, were too dim to be seen. The sky was full of them.

"
1610,Moon,"['Galileo', 'Earth', 'Aristotle']","['Latin', 'Earth']","Galileo also looked at the Moon through his telescope. He found that it contained craters, mountains, and dark areas that he thought might be seas. These dark areas are still called maria, which is the Latin word for “seas.” It was quite obvious that the Moon was not a heavenly globe of light, but was a world that in some ways resembled Earth. Aristotle’s notion that heavenly bodies were of a structure different from that of Earth thus received a blow.

"
1610,Jupiter,"['Galileo', 'Jupiter', 'Galileo Jupiter', 'Jupiter Kepler', 'Jupiter Earth', 'Aristotle', 'Cosimo IT']","['Ptol', 'Tuscan']","Other than the Sun and the Moon, the planets known to the ancients were seen merely as points of light When Galileo turned his telescope on them, however, he found that they expanded into little orbs. Clearly, they were extended bodies but were tov small, or too distant, or both, to show as orbs to the unaided eve. (The stars, however, remained points of light even when viewed by telescope.)

Jupiter was not only an orb but, in January 1610, Galileo observed four dimmer objects in its immediale vicinity. As he watched from night to night, he saw that they were circling Jupiter, as the Moon circles the Earth. They were, in short, four moons of Jupiter Kepler (see 1609) later referred to them as satellites, a Latin word referring to those who remain close to

someone rich or powerful in the hope of picking up scraps and favors

Jupiter’s four satellites were the first objects ever seen in the sky that clearly circled some object other than Earth, which was a strong point against Ptol emy’s geocentrism. For that reason, the discovery displeased the rigidly religious. Some refused to | through the telescope in

order to avoid seeing the satellites. One pointed out that since the satellites were not mentioned by Aristotle, they clearly did not exist

Seeking support from Cosimo IT (1590-1621) of the Medici family, who in 1609 had become grand (an [

duke of Tuscan

state with its capital at

"
1610,"Florence), Ga","['Simoi M', 'Galilco', 'Jupiter']","['Ger', 'Europa']","lileo called

the satellites “'the

stars.” Fortunately name didn’t stick. The Ger man astronomer Simoi

M:z

vr, known by his Latin

lites soon after Galilco. He named them, in ord

mcreasing

Jupiter, lo, Europa and Cz

fter individuals closely as

"
1610,Ganvmede,"['Jupiter', 'Galileo', 'Saturn', 'Moon']",['Greek'],"sociated with Jupiter (Zeus

he Greek myths

Galileo also noted that JTupiter and Saturn both

had orbs that did not ap-

pear perfectlv circular, as did the orbs of the Sun and Moon, but were somew hat elliptical

Galileo began observin

Venus in 1610, According seocentric notions, \

should alwe

1wcliocentric

tull range of phases did appear, and this was a particularly powerful piece of evidence in favor of heliocentrism.

"
1612,Sunspots,[],['Galileo'],"Galileo (like others at about the same time) also found that the disk of the Sun had

dark spots on it. These are now called sunspots.

This was particularly annoying to the religious conservatives, since they had accepted the Sun as a symbol of God and felt that it, of all objects, ought to be perfect.

"
1614,Andromeda Nebula,['Simon Marius'],['Andromeda'],"In 1612 Simon Marius (see 1610) noted a fuzzy spot in the constellation of Andromeda. It did not have the

sharp, pointlike quality of a ~ seem very important at the

star, but seemed a tiny lu- time, but three centuries minous cloud. Indeed, it later it would initiate a discame to be called the Andro-  cussion that would lead to meda nebula, from the a fundamentally new unLatin word for “cloud.” derstanding of the Uni-

The discovery of the An-  verse. dromeda nebula did not

"
1614,Logarithms,"['Nine', 'John N', 'Napier']","['Scottish', 'Greek']","Numbers can be written in exponential form. Thus, 24 is four twos multiplied together, or 16; while 25 is five twos multiplied together, or 32. Nine twos multiplied together, or 2°, is 512. Since 16 X 32 = 512, we can say that 2% X 25 = 27, Instead of multiplying numbers, we add exponents. This turns out to be a general rule. In the same way, instead of dividing numbers, we can subtract exponents.

If 16 is 2% and 32 is 25, then 22 must be 2 to some exponent that lies between 4 and 5. If we had the exponents for all numbers listed

in a convenient table, multi-

plication would be reduced to addition, and division to subtraction, with a

great saving in time and trouble

The Scottish mathematician John N r (15501617) spent years working out formulas that would give him appropriate exponents for a great many numbers, and he called them logarithms (from Greek words meaning “proportionate numbers”). In 1614, Napier published his table of logarithms and they at once became useful in all

sorts of complicated computations that scientists were forced to make. Nothing better was to come along for over three centuries.

"
1614,Metabolism,"['Santorio Santorio', 'Sanctorius']",['Italian'],"In 1614 an Italian physician, Santorio Santorio (1561-1636), better known

by his [ Sanctorius, 1

himself. He |

aborate

and sat

ate and drank and elimir astes. He found that

weight than the wastes

LOSt more

alone would account for

and he attributed this

“insensible perspiration that is, perspiration that evapc

;7\'()duu‘\1 so that it was not

ited as fast

1L was

seen

Sanctorius's ¢ mentation was the very besinning of the study ol metabolis which deals with the chemical char that go on within livi

"
1620,Baffin Bay,"['William Baffin', 'Baffin Bay', 'Baffin', 'Tierra', 'Fuego Drake', 'Jakob Le Maire', 'Fuego', 'Cape Horn', 'Willem Corneliszoon Schouten']","['English', 'Greenland', 'Northwest', 'Tierra', 'Fuego', 'Dutch', 'Tierra Dutch', 'Hoorn']","The search for the Northwest Passage continued. The English explorer William Baffin (ca. 1584-1622) in 1615 sailed his ship up the western coast of Greenland into a stretch of water now known as Baffin Bay. By 1616 he had made his way northward to nearly 78 degrees North Latitude. That placed him within 800 miles of the North Pole, and

no one would get closer to that for two and a half centuries. Baffin concluded, correctly, that there was no practical Northwest Passage.

Tierra del Fuego

Drake had seen open water south of Tierra del Fuego (see 1578). In January 1616 the Dutch navigator Jakob Le Maire (1585—1616) sailed around the southern

end of Tierra del Fuego, studying its coasts in detail, and showed it to be an island with an area of about 18,000 square miles. It was the most southerly piece of land to have been reached by prehistorical humanity. Its southernmost point is named Cape Horn, after the Dutch city of Hoorn, where the ship's captain, Willem Corneliszoon Schouten (ca. 1580— 1625), was born.

"
1620,Stagecoaches,[],[],"A stagecoach is any horse and carriage that travels between set places (stages) according to a fixed timetable and accepts passengers for pay. Such things came into use at about this time. Stagecoaches allowed people without money enough to own a horse to be carried from one place

to another more quickly than in any other way. There were disadvantages, of course. You had to ride with strangers, at a time and to a place that suited the coach-owners and not necessarily yourself. Nevertheless, it was much more convenient than having to walk or try to hitch a ride in a farmer’s cart.

The stagecoach re-

mained the fastest means of overland travel (for the relatively impecunious) for over two centuries.

"
1621,Scientific Method,"['Francis Bacon', 'Novum Organum', 'Aristotle', 'Bacon']","['English', 'Logic']","The English philosopher

Francis Bacon (1561-1626) published Novum Organum (New Organon) in 1620. The  reference is to Aristotle's Organon, in which the rules of logic were drawn up (sec 350 B.c., Logic)

Bacon argued strenusly that deduction might do for mathematics but it

would not do tor scien

The laws of science had to

be induced; that is, es li

drawn ou

neralizations

specific observation. St

experimental

"
1622,Refraction,"['Willebrord Snel', 'Snel']","['Dutch', 'Piolemy']","The action of lenses had been known from ancient times. Archimedes (see 260 B.c.), according to a doubtful story, used large lenses to focus sunlight and set the Roman ships afire when they were besieging Syracuse. Obviously, light had to be benl in passing through them

The first to make a mathematical study of this

was a Dutch mathematician, Willebrord Snel (1580-1626)

It was known that when a beam of light

passed from air to a denser medium, such as glass, and struck the sur

face of the denser mediun

water or

at an oblique an it was

bent toward the v Piolemy (see 140) mai tained that the angle to the

vertical made by the light

hitting the surface bor

fixed relationship to the \.u,rf(’ Lo the !

by the light after p

the surfacc

throug atediurn bevond

Snel showed that the

constant relationshiy

not between the angles themselves but between the sines of the angles slem had been d < 2 with small angles, the

iwre almost propertiona

the It 1CMms S

"
1624,Slide Rules,['William Oughtred'],"['Napier', 'English']","[t was not long after the discovery of logarithms by Napier (see 1614) that the matter became mechanized. An English mathematician, William Oughtred (1574—1660), pre-

pared two rulers along which logarithmic scales were laid off. By manipulating the rulers one against the other, calculations could be performed mechanically by means of logarithms.

The instrument, modi-

fied and improved, became the slide rule that scientists and engineers carried about with them constantly until it was replaced three and a half centuries later by pocket computers.

"
1627,Gas,"['Air', 'Jan Baptista', 'Helmont', 'Helmont Helmont', 'Whilc']","['Greeks', 'Flemish', 'Helmont', 'Flemish Sanctorius']","Air was considered by the Greeks to be one of the four elements that made up the Earth. To them, and to those who followed them, any vapor was a kind of air. The Flemish physician Jan Baptista van Helmont (1579—1644) worked with

vapors, however, and it seemed clear to him that some vapors had properties so different from others, and from ordinary air, that they represented different substances. Just as there were different liquids and solids, so there were different airs.

In 1624 Helmont felt he

needed a word to use for such airs generally. It seemed to him that since airs had no specific volume but filled any container, they were examples of matter in complete chaos. He called them chaos, spelling the word according to its pronunciation in Flemish so that it came out gas. The  term did not become popular at once, but eventually it gained equality with liguid and solid to represent the three ordinary states of matter.

In particular, Helmont studied the gas produced by burning wood. He called this gas sylvestre (wood gas), but we know it as carbon dioxide.

Helmont also con-

ducted the first imp quantitative me involving a biological prob-

rtant

surement

lem since Sanctorius (see 1614). He

tree in a weighed quantity

grew a willow

of soil and showed that after five years, during which time he added only water, the tree had gained 164 pounds, while the soil had lost only 2 ounces

From this he deduced th

water was converted b | tree Into 11s own substa ( Unfortunatcly for Helmor he d

eration the tact that air wat

101 1ake

in continuous contact with the tree. Whilc important to th

ment of the tree

portant was the carbon dioxide of the air, the very gas that Helmont had

studied.

"
1627,Planetary Tables,"['Kepler', 'Kepler Napier', 'Rudolf IT', 'Holy Roman Emperor']","['Copernicus', 'Tycho']","If Kepler’s elliptical planetary orbits (see 1609) really presented an advance over the circular orbits of both Prolemy and Copernicus, then using them ought to result in improved planetary tables.

Kepler spent some years working out new tables on the basis of his elliptical orbits, using Napier's logarithms (see 1614) in his calculations—the first important scientific use of the

new technique, In 1627 they were published as the Rudolphine Tables, in memory of Rudolf IT (15521612), who had become Holy Roman Emperor in 1576 and who had suppul'lcd KL'plL'l'. They were in

:d the best tables of planetary motions yet prepared. The publication included tables of logarithms and a star map based on the work of Tycho and expanded by Kepler include over a thousand

stars

"
1628,Aurochs,[],['Po'],"The cattle that populate the world in their hundreds of

millions and supply us with beef, milk i

cheese, and lea

bulter

her are de-

scended, it is supposed

from the anroc

lar

black animals stas

the shoulder and

fee with long, forward-curving

horns. As cattle multiplic

the aurochs declined, until

the only ones

world were a herd in Po

land. The herd continued te  dwindle, and the last one died in 1627. This was an example of how easy it is for large and magnificent

animals to vanish. They had not been killed in

anger. There was merely no

room left for them. The room was needed for their domesticated descendants.

"
1635,Blood Circulation,"['Arabic', 'Ibn', 'Blood', 'Miguel Serveto', 'Michael Servetus', 'Servetus', 'John Calvin', 'Calvin', 'Realdo Colombo', 'Colombo', 'William Harvey', 'De Mot Cordis', 'Sangtiinis', 'Harvey', 'Urban VIII', 'Pope', 'Galileo', 'Dialogue', 'Galileo Galileo', 'Galileo Church']","['Galen', 'Spanish', 'Servetus', 'Unitarian', 'Geneva', 'Servetus Italian', 'English', 'Fabrici', 'Netherlands', 'Blood', 'Italy', 'English Italian', 'Latin', 'Bruno']","The idea of Galen (see 180) that the heart was a single pump and that there were pores in the thick muscular wall separating the right ventricle from the left ventricle was not universally accepted.

In 1242 an Arabic scholar, Ibn an-Nafis (d. 1288), wrote a book in which he suggested that the right and left ventricles were totally separate Blood was pumped out of the right ventricle into arteries that led it to the lung. There, in the lungs, the arteries divided into smaller and smaller ves-

sels, within which the blood picked up air from the lungs. The vessels were then collected into larger and larger vessels until they were brought back to the left ventricle from which the blood was pumped out to the body generally.

In this way, the double pump was explained. One pump was needed for the lungs and aeration; the other for the rest of the body. An-Nafis had grasped the lesser circulation. However, his book was not known to the West until 1924, and it had no effect on later developments.

In 1553 a Spanish physician, Miguel Serveto, known as Michael Servetus

(1511-1553), published a book in which he too described the lesser circulation. The major part of the book, however, dealt with the Servetus's theological views, which were Unitarian. Servetus, having ventured into Geneva, which was ruled by his deadly enemy, John Calvin (see 1541), was taken into custody and burned at the stake.

Calvin then attempted to destroy all copies of Servetus’s book, and it wasn't till 1694 that some unburned copies were found.

In 1559 an Italian anatomist, Realdo Colombo (15162-1559), became the third person to understand,  independently, the lesser circulation. His work was the first to reach the medical profession, and it was much more detailed and careful than those of his two predecessors, so it is Colombo who gets credit for the discovery.

Then came the English physician William Harvey (1578-1657). He studied the heart carefully and noticed that each side had

valves that allowed blood to enter each of the two ventricles but not to leave except by way of arteries.

He also knew about the valves in the veins, since he had studied under Fabrici (see 1603), who had discoyered them. He experimented with animals, tying off a vein or an artery and noting that the blood piled up in a vein on the side away from the heart, but in

an artery on the side toward the heart. It was clear to him that blood flowed away from the heart in arteries and back to the heart in veins.

By 1628, he had all the evidence he needed and he published a seventy-twopage book in the Netherlands with the title De Mot Cordis et Sangtiinis {Concerming the Mations of the Heart and Blood). In it,  he advanced his findings concerning the circulation of the blood: It leaves the right ventricle, goes to the lungs, and returns to the left ventricle. It then leaves

the left ventricle, goes to the body generally, and returns to the right ventricle to begin all over.

The book was received sourly by the medical pro-

fession, but Harvey lived long enough to see it accepted. His book represents the beginning of modern physiology.

® Science and Religion Galileo had long accepted the Copernican idea of a heliocentric planetary system, but he was reluctant to be open in this view, for the papacy was strong in Italy and geocentrism was the only allowable astronomical view in Catholic doctrine of the time.

Urban VIII (1568— 1644) had become Pope in 1623, and Galileo thought him to be a friend. In 1632, therefore, he took the

chance of publishing a book with the title, in English, Dialogue on the Two Chief World Systems. The dialogue has three actors: a Ptolemy-supporter, a Copernicus-supporter, and a neutral person seeking information.

The book created a stir. In the first place, it was written in Italian rather than in Latin, so that it was not confined to scholars but could reach the general public. In the second place, Galileo was a brilliant writer, much given to sarcasm, and he certainly gave

the Copernican the best of it. What's more, it was easy to persuade the Pope that the Ptolemy-supporter was meant to be a satire on him personally.

Galileo was therefore brought before the Inquisition in the most famous confrontation between science and religion prior to the evolution controversy in the present century.

On June 22, 1633, under the threat (but not the use) of torture, he was forced to renounce any of his views that were at variance with geocentrism.

Sometimes Galileo is blamed for giving in, but he was seventy at the time, and he had the example of Bruno (see 1600), a genera

tion before, to keep in mind

However, the victory of

the Church was an ¢

pty

one. The heliocentric the

minds ol scientist nd or

nary people everywherz

"
1637,Magnetic Declination,"['Gilbert', 'Columbus', 'M', 'Gilbert Henry Gellibrand']","['English', 'London']","Gilbert's demonstration that the Earth was a magnet (see 1600) could be used to explain the fact that the compass needle did not necessarily point to the truth north. If the Earth's magnetic north pole were not located at the geographic north pole, and if the compass needle pointed to the magnetic north pole, then naturally it would not necessarily point true north.

What's more, if the magnetic pole were on the Atlantic side of the geographic north pole, then one crossed the Atlantic

from east to west, the compass needle would begin by pointi end by pointing north, as Columbus found it did (see 1492, M Declination)

west of north and ast ol

INetLic

At any one place, however, Gilbert maintained,

the comp needle would

nt in the sar

i

lways poi rection The English

astrono

mer Henry Gellibrand (1597-1636) showed, however, that this was not so He kept track of the pointing of the compass needle in London, both by his own observations and by the r corded observations of oth

hed

ers, and in 1635 publ

his finding

he compass

needle had shifted direction

some 7 degrees in the

hall-century. This was ar

indication not only that the

magnetic poles might exist

wway from the geographic S t the ight

ye shiltir yosition as well

"
1637,Analytic Geometry,"['René Descartes', 'Descartes', 'Geometric']",['French'],"The French mathematician René Descartes (1596— 1650) published, in 1637, his Discours de la méthode (Discussions on the Method) —of finding scientific

truth by good reasoning, that is.

In a hundred-page appendix to this book, Descartes combined algebra and geometry. He pointed out that if one drew two perpendicular straight lines, marked the intersection 0, and laid off units on each line, positive numbers to the right and up, negative numbers to the left and down, then every point in the plane could be represented by two numbers, one for its position along the horizontal axis and the

second for its position along the vertical axis. (One could add a third axis, in and out, and locate every point in the Universe by three numbers.)

Straight lines and curves could then be expressed by algebraic equations, which would locate every point on the line or curve with reference to the two axes. This combination of disciplines, producing analytic geometry, strengthened both. Geometric problems could be solved algebraically, and algebraic equations could be illustrated geometrically.

It also laid the foundation for the development of the calculus, which is essentially the application of algebra to smoothly changing phenomena that can be represented geometrically by curves of various sorts.

"
1640,Fermat’'s Last Theorem,"['Pierre', 'Fermat', 'Fermat Fermat', 'Fermat Fermat Ferma']","['French', 'Fermat']","The French mathematician Pierre de Fermat (1601 — 1665) had a bad habit of not publishing but of scribbling hasty notes in margins of books or of writing casually about his discoveries in letters to his friends. The result is that even though he understood analytic geometry before Descartes, he loses the credit.

Here is something that involved him.

It is possible to have two squares that add up to a third square: 32 + 42 = 52,0r9 + 16 = 25. There are an infinite number of such cases. Are there, however, two cubes that add up to a third cube, or two fourth powers that add up to a fourth power, and so on?

Fermat wrote in the margin of a book that there

aren’t—it works anly for squares, He had a perfectly he

marvelous prool for i said, but there was no room in the margin to write it down.

Now Fermat often said he had a proof for some particular proposition, and in every case, proofs have

been overed for thosc cases even when Fermat didn't give his. In y

case bul one, that I'he

on I have ji

propost

mcn

tioned is the last Fermat proposition that has vet to be proved. That is why it is called Fermat's Last Theorem

If it were anyone bul

Fermat, we would conclud

I the proot. Ferma Last Theorem is the most

famous unsolved proble

n ma

"
1641,Coke,"['Wood', 'Coal']",['England'],"England’s forests were diminishing, and for that reason the English were turning to coal for fuel, even though its fumes and smoke were neither appetizing nor healthy

Wood was still needed for charcoal, however (sec 1000 B.c.), which was used

in iron-smelting. Coal could substitute for wood in heat ing homes but could not substitute for charcoval in industry

If coal is subjected to

the same kind of incomplete burning as wood, how ever, coal like wood will burn ofl the noncarbon ms: terial leaving virtually pure

carbon behind. The pure-

carbon residue of coal is called coke (a word of un-

known derivation). It may

have 1603, but by 16

tainly knowr

Coke is very like ch coal and b the promisc ol being uselul in i smelting, once the proper

hnique had been devi

oped

"
105,Cross Hairs,"['William Gascoigne', 'Gascoigne']",['English'],"Although telescopes had been in use for a generation by now, they still left the task of judging distances between stars to the naked eye. They showed more stars and they widened the distance between them, but the precision of measuring that distance remained low. The English astrono-

mer William Gascoigne (1612?2—1644) invented a simple solution. In 1641 he placed fine cross hairs where the image reached a focus. A particular spot could be located and accurately centered at the crossing point of the hairs and the telescope then shifted to a neighboring star, making use of a device to measure how great an angle the

telescope had turned through.

This began the conversion of the telescope from a mere viewing toy to an instrument of precision. However, Gascoigne was killed in battle before he could properly develop his discovery. It was twenty years before cross hairs were rediscovered and put to general use in telescopes.

"
105,Quinine,['Incas'],"['Europe', 'Europeans']","The Incas had used the bark of the cinchona tree as a treatment for malaria. The active ingredient in it eventually came to be known as quinine. The first knowledge of quinine reached Europe in 1642, and for three centuries it remained the only treatment for this common and debilitating disease. Without quinine, it is doubtful if Europeans could have

long remained in tropical climates.

"
105,Adding Machine,['Blaise Pascal'],['French'],"In 1642 the French mathematician Blaise Pascal (1623-1662) invented a calculating machine that could add and subtract. It had wheels that each had 1 to 10 marked off along its circumference. When the wheel at the right, representing units, made one complete circle, it engaged the wheel to its left, representing tens, and moved it forward one notch.

With such a machine, as long as the correct numbers were entered into the

device, there was no possibility of a mistake,

He patented the final version in 1649, but it was a commercial failure. It was too expensive, and most people continued to add and subtract on their fingers, on an abacus, or on a sheet of paper.

"
1643,South Pacific,"['Greeks', 'Africa', 'Magellan', 'Luis Vaez', 'Torres Strair', 'Anthony', 'Abel Janszoon Tasman', 'Tasman', 'Van Diemen', 'Torres', 'Tasman Tasman']","['Greek', 'South America', 'Indonesian', 'Spanish', 'Torres', 'New Guinea', 'New Guinea Dutch', 'Indonesian Dutch', 'Diemen', 'Java', 'Land', 'Tasmania', 'New Zealand', 'Australia', 'United States', 'Australia Tasmania', 'Australia Australian', 'New Holland']","The ancient Greeks had thought there might be a large continent in the southern hemisphere to balance the land they knew in the northern hemisphere. This was pure speculation, but the later Europeans took Greek speculation seriously.

Both South America and Africa extended into the southern hemisphere, but they didn't seem to fulfill the requirements. There ought to be a continent that was entirely in the southern hemisphere. The Pacific Ocean was clearly vast, covering nearly half the area of the globe. Since Magellan had first entered it (sec 1523), no significant land area had been found, but little of it had as yet been explored.

The Indonesian islands,

which straddled the Equator, seemed a good place to start. In 1606 a Spanish navigator, Luis Vaez de Torres (fl. 1606), sailed all around the island of New Guinea and showed that it was not part of a continental landmass. It proved to be the second-largest island in the world. The narrow stretch of water south of New Guinea is called Torres Strair in the explorer’s honor.

When the Dutch became dominant in the Indonesian islands, the Dutch governor-general Anthony van Diemen (1593-1645) sent out an exploring expedition under Abel Janszoon Tasman (1603?-1659).

On August 14, 1641, Tasman left the island of Java and for ten months sailed the Pacific. He discovered an island he named Van Diemen’s Land, in honor of his chief, but it is now known as Tasmania in his own honor. He also discovered the southern island of what is now known as New Zealand.

The astonishing thing about Torres's and Tasman’s voyages is that neither managed to spot Australia, a picce of land as  large as the United States New Guinea is only 100 miles from northeastern Australia, and Tasmania is only 230 miles from south-

eastern Australia, but both somehow managed to miss it.

In 1644 Tasman did finally spot a portion of the

Australian coast and called it New Holland, but he didn't explore it further.

"
